comment,comment_length
Ham garib log shayad kabhi nahi payenge yar,43
Good one,8
lekin meri ek raiy he ke ap needarland jarur jana ghumne bro pleaise mere liye,78
bro apki sari videos best lagi,30
❤❤❤,3
"Paramvir bhai, koi visible difference ni lga iphone 14 se video quality mein",76
"<a href=""https://www.youtube.com/watch?v=lpj8YgrlkTk&amp;t=600"">10:00</a>😂",74
Ram ram @paramvir bhai,22
It’s more better certainly,26
South Africa,12
E-Sim is pathetic 😂😂😂,21
Bhai aap Google pixel kyun nahi lete woh better hai iPhone se,61
Go to usa and you bhought i phone 15 pro max,44
Why are you judging Pro &quot;Max&quot; users? Everyone has their own choice. its not about showing off all the time. if you don&#39;t have the budget or liking or capabilities to use a specific model then you should respect other people&#39;s choice rather than bullying them saying &quot;chote chote unki unlia or showoff karne ke liye jayda tar max le leti hain&quot;,370
Samsung s23 better,18
Congratulations to You Have a wonderful Day,43
Iss video mei to koi pharak nazar nahi aaya. Shayad zoom settings mei it performs better.<br>Anyways congratulations.,117
bhai ..mote hogye phle se,25
I am watch your video from 14 pro max 256 only😂😂,48
I already feel crazy looking at all those things and ppl. I could never stay in a place where the city is very populated.,121
"Apne saath jim le ke chala kar, WWE me chala ja,sarri akad nikal jayegi.",72
Apna 12 pro mujhe hi de dete bhai 🙋🏼‍♂️🥲,40
bhai love from punjab pakistan app ka bhout bada fan hu like indian brothers love u all,87
Love you Bhai,13
Bhai aap America kaise aaye aur aapka education kya hua hai kya aap enginner ho,79
"I always wonder , why we Indians are always show interest in price of iPhone even though , that doesn&#39;t really matter .",123
Watching on my 14pro max.. 256gb USA variant… sach kahu toh boht heavy h phone.. almost 7 mahine ho gye toh yes if you planning go for pro only 💜💜💜,147
Sahi video banai paramveer 👍,28
I mean such a craze for what a phone....man undergone evolution frm jungle to modern civilization...now man is undergoing reverse evolution...😁😁🤣🤣,146
"<a href=""https://www.youtube.com/watch?v=lpj8YgrlkTk&amp;t=943"">15:43</a> price",79
Spider man😂😂😂,13
Chak de faate,13
This phone is not working in India,34
Bhai ek reply dedo,18
"Hi, when are you going to Canada?",33
iPhone me clear aa rhi h,24
"<a href=""https://www.youtube.com/watch?v=lpj8YgrlkTk&amp;t=562"">9:22</a> bhai green dress waali ladki smile kar rahi hai 😁",122
Bhai… pro max mostly more battery k liye lete h,47
bhai thoda jaldi nikla karo phochne k liye kahi 😂,49
You should have tried S23 Ultra 👍,33
Bhai sach me ladkion jaisi dikkatein face karta hai. Handsome buoy 😂,68
hamare yahan 20 rupee glass lag jata h,38
US mein IPhone 14 pro kitna hein ?,34
can we claim that tax in india if purchased from US,51
Bat tho eshe kar Raha hai jaise mera jhaat ka baal ho .,55
quality is same but you should get a DSLR camera that will be much better,73
Ms sethi se milo new york me rehti h wo 😅😅🎉🎉❤❤,46
Best Indian travel channel.,27
Paramvir bhai mera jaise dream hai america jana to apko kya lagta hai jana chaiye ya nhi ???,92
"<a href=""https://www.youtube.com/watch?v=lpj8YgrlkTk&amp;t=395"">6:35</a> unki bhi yhi majboori hai 3km cover krna hai,  wobhi pedal 😂",133
"<a href=""https://www.youtube.com/watch?v=lpj8YgrlkTk&amp;t=689"">11:29</a> BATMAN SPOTTED",88
love from pakistan❤❤❤❤❤,23
Hilo bro yourp work visa ke liye ktna pesa lagta he or bank me balenc kitna hona chyiye,87
Kay price iPhone liya,21
I also love of i phone pro,26
City of anti christ....,23
Price of iPhone now can any one tell me how much it is ....and tell about can we buy iPhone from USA and use it in India,120
Parallel universe : Spider man ko police ne pakad liya,54
do we have to pre-book for the iphone?,38
Bhai India kab aaraha ho,24
Bhai vlog band kar or jo ladki love you bol ke gayi usko dhoond.,64
ladki love you boli.. 😆,23
bakwas zada store me kam,24
Watch from pakistan 🇵🇰 😍 😊 😀 ♥️,31
Difference hai Baha&#39;i video quality mein,44
Nyc bro I love USA❤,19
Hamare nasib me to nhi he New York jana lekin aapne darshan kara diya New York ka👍👍,83
Hello sir,9
"Bhai aap U.S me ho to, mere liye iPhone 14 pro purple colour 128 gb wala laado na. Aapka Yaha pay kr dunga. 🥹",109
Dubai Very Beauty Fulf City in the world,40
Genuine brother 💥,17
Bhai tu bhi toh show off k liye liya iPhone,43
Very nice video bro thank you so much 🙏,39
Very nice form Pakistan,23
1 lakh 12 hazaar.<br>For people watching for only the prices,60
"Paramvir bhai,  mujhe toh 📸 pic quality, kuch jyada difference nahi laga. 😐 you have a great 👍 life.  Jai Hind 🇮🇳. 🙏",116
"<a href=""https://www.youtube.com/watch?v=lpj8YgrlkTk&amp;t=898"">14:58</a> &quot;Hehe.. Country kya kare ab&quot; 🤣🤣",115
Logoun say suna ha phones free miltay hein USA main,51
Yaha sasta milta hain kya?? Online bhi manga sakte hain or kahi or se bhi le sakte phir yaha se kyo yeh to batao,112
"<a href=""http://www.youtube.com/results?search_query=%23wallstreet"">#WallStreet</a> ke paas se you crossed na",109
Bhaijaan mujhe apka purana iphone gft kardijiye na plz from fan of nepal,72
Bai aap ke France ke vise ke kitne paise lge,44
Love you bro 🥰,14
U r desi nd u r awesome,23
nice video,10
Sir do you facing any issue in india while using usa iphone..?,62
Bhai voice itni sahi kese ati h external mic use krte ho iphone ke sath ya phone khud recording karta hai,105
Bhai sumsung ka bhi acha hai iska bhi try krke dekho Samsung s22 ultra,70
please video on Canada also.... loving your work keep that honesty alive,72
Weed shop dikha doo😅,20
Bhai Sasta Spider-Man Pakda Gaya,32
❤❤❤❤❤,5
Bhai aap kiya job kar tai hu,28
Mujhe sari duniya dekh ni app ki video par all 🇺🇸USA,52
How to buy it from US when someone living in India,50
Price..?,8
Mike konsa use krta ho bhai vlogging ka liya in iphone,54
Soon mere bhai koi achhi si hari bhari place jaa waha ki hariyali me jo sukoon hai na bhai kya hi bolu please koi achhi si jagah jaa,132
Bhai tu bahut Bor karta hai yaar,32
Bhai ek girlfriend banao NewYork mai or video dalo plzzz jo jo ye chatha hai plzz reply or like kre mere comment pr,115
